Actor, актер
Airport, аэропорт
Angry, сердитый злой
Attic, чердак
Baby, младенец
Bank, банк
Basement, подвал
Beach, пляж
Bedroom, спальня
Bored, скучающий
Box, коробка
Boyfriend, любимый парень
Brazil, Бразилия
Busy, занятой
Canada, Канада
Child, ребенок
China, Китай
Class, занятие класс
Classmate, одноклассник
Cold, холодный холодно
Computer, компьютер
Day off, выходные
Dress, платье
Duty free store, магазин безпошл товаров
Egg, яйцо
Egypt, Египет
Empty, пустой
England, Англия
Expensive, дорогой недешевый
Favorite, предпочтительный любимый
Food, еда
Fork, вилка
Friend, друг
Fool, полный наполненный
Garage, гараж
Glass, стакан
Goose, гусь
Great, отличный отлично
Greece, Греция
Happy, счастливый
Healthy, здоровый
Heavy, тяжелый
Holiday, праздник
Hot, жаркий жарко
House, дом
How are you, как дела
Hungry, голодный
I`m fine, У меня все хорошо
I`m from , я родом с
I`m great, У меня все отлично
Interesting, интересный интересно
Married, замужем женат
Israel, Израиль
Japan, Япония
Key, ключ
Korea, Корея
Lady, леди женщина
Late, поздний поздно
Library, библиотека
Life, жизнь
Little, маленький
Living room, гостинная
Long, длинный
Loud, громкий
Man, мужчина
Mouse, мышь
Movie theatre, кинотеатр
Nice, милый приятный
Nice meeting you too, приятно познакомиться тоже
Nice to meet you, приятно познакомиться
Office, офис
Old, старый
Orange, апельсин
Outgoing, общительный
Park, парк
Person, человек
Picnic, пикник
Plane, самолет
Polite, вежливый
President, президент
Quiet, тихо тихий
Restaurant, ресторан
Rested, отдохнувший
Rude, грубый
Sad, грустный печальный
School, школа
Short, короткий низкий
Shy, застенчивый стеснительный
Sick, больной
Single, не замужем холост
Skirt, юбка
Spain, испания
The USA, США
Tired, уставший
Tomato, помидор
Toy, игрушка
Turkey, Турция
Ugly, уродливый безобразный
Weather, погода
White, белый
Woman, женщина
Young, молодой
